time,open,high,low,close,volume,support,resistance,sma_20,signal,sl,tp,position_open,position_price,position_sl,position_tp
1970-01-01 00:00:01.750819080,102375.5596,102394.4381,102284.7765,102297.1101,109662,101746.9225,102534.1368,102248.49798,0,,,False,,,
1970-01-01 00:00:01.750819140,102298.9467,102351.9034,102263.8004,102319.3251,88103,101746.9225,102534.1368,102271.59992,0,,,False,,,
1970-01-01 00:00:01.750819200,102310.0658,102340.5505,102223.2579,102272.0469,117293,101746.9225,102534.1368,102293.27382,0,,,False,,,
1970-01-01 00:00:01.750819260,102313.9165,102341.6442,102208.9447,102223.6353,132700,101792.1611,102534.1368,102314.56899999999,0,,,False,,,
1970-01-01 00:00:01.750819320,102249.1368,102278.3872,102076.0222,102078.3764,202365,102006.5652,102534.1368,102316.992675,0,,,False,,,
1970-01-01 00:00:01.750819380,102075.9462,102124.5701,101974.363,102087.8272,150207,101974.363,102534.1368,102315.96256500001,0,,,False,,,
1970-01-01 00:00:01.750819440,102130.5961,102247.0003,102127.3844,102163.8029,119616,101974.363,102534.1368,102308.25578,0,,,False,,,
1970-01-01 00:00:01.750819500,102188.9132,102289.4399,102185.413,102190.4525,104027,101974.363,102534.1368,102297.80623,0,,,False,,,
1970-01-01 00:00:01.750819560,102211.1027,102211.1027,102120.902,102175.7364,90201,101974.363,102534.1368,102288.909145,0,,,False,,,
1970-01-01 00:00:01.750819620,102216.992,102256.5863,102180.6775,102242.0291,75909,101974.363,102534.1368,102282.90769,0,,,False,,,
1970-01-01 00:00:01.750819680,102266.1318,102273.6159,102193.2571,102245.5923,80359,101974.363,102534.1368,102276.030455,0,,,False,,,
1970-01-01 00:00:01.750819740,102221.1654,102332.5043,102191.1924,102332.5043,141312,101974.363,102534.1368,102275.98769499999,0,,,False,,,
1970-01-01 00:00:01.750819800,102356.9759,102369.0831,102204.1399,102249.182,164943,101974.363,102534.1368,102267.54469,0,,,False,,,
1970-01-01 00:00:01.750819860,102277.9567,102289.0778,102151.6003,102164.7386,137477,101974.363,102534.1368,102255.73636499999,0,,,False,,,
